time,open,high,low,close,volume,close_time,quote_asset_volume,Number_of_trades,Taker_buy_base,Taker_buy_quote,Ignore
2025-01-11 20:00:00,3278.46,3300.69,3275.84,3299.54,6442.2651,1736629199999,21190653.07107700,55802,3801.25370000,12507111.25056100,0
2025-01-11 21:00:00,3299.54,3320.18,3299.22,3307.1,12280.4578,1736632799999,40651707.11660900,80287,7808.32770000,25852006.71897800,0
2025-01-11 22:00:00,3307.1,3308.5,3286.25,3288.67,5714.0729,1736636399999,18833452.60479700,44858,2573.45970000,8481668.48887700,0
2025-01-11 23:00:00,3288.68,3294.43,3281.36,3282.83,4435.6183,1736639999999,14585702.61467100,44212,2188.85370000,7197983.14648700,0
2025-01-12 00:00:00,3282.83,3286.98,3278.7,3283.37,4544.4493,1736643599999,14919945.54051300,52172,2176.45930000,7145321.84138100,0
2025-01-12 01:00:00,3283.38,3289.41,3274.12,3289.08,4680.602,1736647199999,15361077.45983200,40067,2058.45120000,6756308.61279400,0
2025-01-12 02:00:00,3289.08,3289.94,3279.64,3289.79,3637.4813,1736650799999,11949189.66494400,27182,2435.25070000,8000009.51647000,0
2025-01-12 03:00:00,3289.78,3290.91,3278.35,3286.0,3475.8512,1736654399999,11413891.35551700,31254,1868.63120000,6136219.33977100,0
2025-01-12 04:00:00,3286.0,3289.41,3278.89,3283.49,5420.0322,1736657999999,17795289.82594900,22925,1986.83340000,6526127.92413800,0
2025-01-12 05:00:00,3283.5,3285.28,3274.28,3279.8,2907.8463,1736661599999,9538049.51779800,24133,1625.14200000,5330806.10773000,0
2025-01-12 06:00:00,3279.81,3281.33,3267.37,3270.33,4761.3496,1736665199999,15588597.43134100,30927,2892.50250000,9471613.85201200,0
2025-01-12 07:00:00,3270.33,3274.0,3263.49,3266.87,4012.1655,1736668799999,13114339.83672600,38152,2058.27420000,6728819.38635300,0
2025-01-12 08:00:00,3266.87,3271.36,3235.47,3239.98,10302.4579,1736672399999,33501297.99740000,53282,4488.09550000,14595902.46285400,0
2025-01-12 09:00:00,3239.98,3244.95,3224.49,3238.67,9390.8735,1736675999999,30384926.64750000,61397,4015.00170000,12993799.43531000,0
2025-01-12 10:00:00,3238.67,3246.31,3234.21,3244.62,4606.0124,1736679599999,14926106.37116000,38741,2052.25370000,6651001.65493300,0
2025-01-12 11:00:00,3244.63,3258.38,3241.5,3253.02,5827.9847,1736683199999,18944799.50958500,39072,2934.36840000,9537784.37546500,0
2025-01-12 12:00:00,3253.03,3265.52,3247.97,3250.61,5857.2876,1736686799999,19075406.77643100,46110,2282.10410000,7433042.95038700,0
2025-01-12 13:00:00,3250.6,3271.38,3247.89,3267.09,13713.8462,1736690399999,44668642.93957700,66231,5616.99540000,18304691.76596000,0
2025-01-12 14:00:00,3267.09,3280.78,3266.0,3269.1,14599.7319,1736693999999,47806986.43322000,72937,9598.91450000,31431876.99349600,0
2025-01-12 15:00:00,3269.09,3296.14,3265.5,3285.68,11733.1916,1736697599999,38546757.58773800,78857,6426.32080000,21115780.97713900,0
2025-01-12 16:00:00,3285.68,3288.0,3268.66,3281.67,6474.2858,1736701199999,21221425.48328400,58219,2488.48180000,8157120.56242300,0
2025-01-12 17:00:00,3281.67,3292.43,3278.37,3288.57,8791.4505,1736704799999,28895078.31102700,49988,4024.07460000,13225410.44092300,0
2025-01-12 18:00:00,3288.57,3300.0,3280.74,3285.15,6115.9876,1736708399999,20130844.59494400,44881,2488.89020000,8191929.18954100,0
2025-01-12 19:00:00,3285.15,3288.97,3276.89,3280.12,4183.7122,1736711999999,13732076.33120000,34573,2034.10890000,6676652.42178900,0
2025-01-12 20:00:00,3280.11,3289.31,3273.58,3281.67,4244.7552,1736715599999,13930829.79809100,43314,2026.45100000,6651229.98241400,0
2025-01-12 21:00:00,3281.66,3282.94,3263.52,3266.28,6758.2345,1736719199999,22110796.72537500,54686,2457.99380000,8040645.47003800,0
2025-01-12 22:00:00,3266.27,3268.2,3234.38,3240.62,13279.9258,1736722799999,43100705.35725500,84906,5235.34290000,16987443.31353600,0
2025-01-12 23:00:00,3240.62,3269.22,3239.23,3267.3,5560.4561,1736726399999,18094650.54938000,57902,3041.59140000,9900468.73713300,0
2025-01-13 00:00:00,3267.3,3339.0,3265.51,3308.56,27882.9084,1736729999999,92356170.29199800,174117,15945.88510000,52810405.46023200,0
2025-01-13 01:00:00,3308.55,3312.4,3252.77,3261.48,22011.3895,1736733599999,72304410.47919400,161755,10385.66770000,34123104.55351600,0
2025-01-13 02:00:00,3261.47,3270.95,3237.0,3255.96,15001.7336,1736737199999,48798784.22644100,122649,7412.96550000,24121304.06084100,0
2025-01-13 03:00:00,3255.96,3267.33,3235.69,3242.72,9997.4831,1736740799999,32505489.02056300,104272,4341.87840000,14121320.72353600,0
2025-01-13 04:00:00,3242.73,3260.49,3238.77,3239.01,12135.1919,1736744399999,39419344.00802900,84535,6477.63720000,21045272.97269000,0
2025-01-13 05:00:00,3239.01,3239.01,3213.0,3225.83,15743.3482,1736747999999,50753318.81145700,94899,7683.03510000,24767119.57028300,0
2025-01-13 06:00:00,3225.82,3233.53,3181.3,3191.36,19412.2615,1736751599999,62170954.26082800,149668,8139.25710000,26075532.98987100,0
2025-01-13 07:00:00,3191.37,3209.74,3183.5,3201.66,12775.6445,1736755199999,40862945.06076800,91991,6656.56940000,21295677.93028100,0
2025-01-13 08:00:00,3201.66,3205.9,3161.7,3169.36,19169.4537,1736758799999,60927927.92765000,131267,8618.15860000,27391109.29484400,0
2025-01-13 09:00:00,3169.36,3176.98,3124.18,3155.8,39329.0438,1736762399999,124143428.29796600,257812,17816.98820000,56268594.86300600,0
