date,rsi,%K,%D,macd,support,resistance,buy_zone,sell_zone
2023-08-01_14:49:25,30.466089008838622,24.552798615118288,20.063096301958584,-4.412055706743705,1626.01,2029.11,1780.48095,1887.0722999999998

2023-08-01_14:50:13,30.629751633325228,24.82688978649748,20.15446002575165,-4.399930350618307,1626.01,2029.11,1780.48095,1887.0722999999998

2023-08-01_23:00:11,28.887417331657403,16.791690709751705,21.432006155029796,-4.666489127682026,1626.01,2029.11,1780.48095,1887.0722999999998

2023-08-04_19:22:23,42.065368235858436,31.285681662480147,27.331573254199835,-0.19291497353288456,1626.01,2029.11,1780.48095,1887.0722999999998

2023-08-06_23:09:34,41.81367630877125,41.01771155468075,47.46509230625077,0.5822392245203307,1626.01,2029.11,1780.48095,1887.0722999999998

2023-08-07_21:22:41,45.13556507413091,30.700094607379274,40.77578051087986,0.8681382806049895,1626.01,2029.11,1780.48095,1887.0722999999998

2023-08-07_21:23:14,44.71442094065668,28.382213812677254,40.00315357931252,0.836867625334571,1626.01,2029.11,1780.48095,1887.0722999999998

2023-09-05_19:12:21,56.377204942512776,12.369597615498103,22.464872650742066,-0.3980451339594122,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_19:17:53,56.95663860110639,5.747126436780193,11.938613032175574,-0.4348291861261018,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_19:33:13,60.9597082013558,31.832298136644987,22.87784679088924,-0.31732117177426367,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_19:43:54,58.305156325641015,65.56016597510792,47.38842480721642,-0.29474909875647937,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_19:49:28,62.41347669081878,100.0,70.92218252823693,-0.22345565439852777,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_19:55:06,66.26516065214496,91.58415841584353,94.26123381569066,-0.04644530245702594,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:00:37,65.80667399868808,97.27722772277473,89.76897689769146,-0.01817695199426317,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:06:09,57.10553104286307,57.178217821781345,74.09240924092488,-0.1160430800275345,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:11:44,48.766138150923226,14.603960396043338,41.5841584158435,-0.31959244221671934,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:17:17,45.862256455174276,0.0,21.78217821782277,-0.3966566702183716,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:22:53,46.34894550445835,32.62987012987075,31.790321889332528,-0.4994009522374545,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:28:25,45.6647543192993,29.383116883116692,29.653679653679188,-0.52575161336702,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:33:56,40.470580453793374,8.201892744479315,24.27076078495688,-0.629938097517865,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:39:28,42.29622791467794,17.034700315456487,20.979283597580757,-0.6069291014912847,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:45:00,55.663774088492175,67.55905511811063,35.19055780488076,-0.3797293978323123,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:50:34,57.812811581189266,81.88976377952945,80.05249343832132,-0.01590365166589236,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_20:56:11,66.21655034169008,88.40125391849627,90.39854053455626,0.39549365633101996,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:01:47,62.62957707426737,79.20585161964449,83.62129207932692,0.3954272803252037,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:07:20,53.73891842049571,53.70950888192408,64.9947753396036,0.18632670998471523,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:12:56,52.95765785357741,51.410658307211136,53.18704284221631,0.06534403882352557,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:18:35,50.461634985939256,42.946708463949086,44.374782305817085,-0.07012879027492991,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:24:06,50.38586913209721,43.260188087775624,45.48937652386015,-0.10475396482648636,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:29:38,52.269203152847545,48.90282131661541,49.14663880181195,-0.09631755688453991,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:35:10,45.68406893551223,29.98955067920491,35.318704284221276,-0.3129130444771089,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:40:45,45.63995135329647,29.049111807732405,28.352490421455652,-0.3657005791999981,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:46:18,47.91411188252944,34.27377220480663,28.805294322535797,-0.34739391555556065,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:51:51,42.548704681307484,4.84472049689568,16.3832802213617,-0.4524623994100132,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_21:57:23,41.75947514335007,7.773851590106963,9.804733415649062,-0.45044018068910247,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_22:02:59,36.821623805968784,0.10810810810800979,2.509359813707119,-0.5443677987532942,1550.0,2029.11,1697.25,1887.0722999999998,5m

2023-09-05_22:08:34,37.6792758703898,15.179487179487365,9.40538278215313,-0.5546169222451298,1550.0,2029.11,1697.25,1887.0722999999998,5m

